                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.3626,                 1.1271,                 1.6434,                0.97883,                   0.76,                 0.8323,                0.39388,                 1.9134,                 1.1107,                 2.0435,               0.006733,               0.006733,               0.006733
                     35,                 1.3388,                 1.0966,                 1.6214,                 0.9876,                   0.76,                0.79648,                0.38004,                 2.0297,                 1.2204,                  2.032,               0.006634,               0.006634,               0.006634
                     36,                 1.3374,                 1.0847,                 1.6171,                      1,                0.63068,                0.74906,                0.38512,                 2.0855,                 1.3396,                 2.2289,               0.006535,               0.006535,               0.006535
                     37,                 1.3074,                 1.0647,                 1.6159,                0.93763,                   0.76,                0.84436,                0.41526,                 1.8857,                 1.0208,                 1.9676,               0.006436,               0.006436,               0.006436
                     38,                 1.3126,                 1.0338,                 1.6229,                0.89299,                0.66802,                0.81674,                0.45119,                 1.6562,                 1.0586,                 1.8686,               0.006337,               0.006337,               0.006337
                     39,                 1.3039,                  1.032,                 1.6133,                0.95905,                   0.64,                0.72405,                 0.3524,                 1.9459,                 1.2588,                  2.148,               0.006238,               0.006238,               0.006238
                     40,                 1.2984,                 1.0226,                 1.5888,                0.84248,                   0.72,                0.77087,                0.40392,                 1.8644,                 1.3685,                 1.9856,               0.006139,               0.006139,               0.006139
                     41,                 1.2833,                 1.0132,                 1.5761,                      1,                0.75442,                0.77554,                0.38041,                 1.9264,                  1.128,                 2.0736,                0.00604,                0.00604,                0.00604
                     42,                 1.2759,                0.99396,                 1.5834,                0.99089,                   0.72,                0.77577,                 0.3791,                 1.8777,                 1.3319,                 2.0259,               0.005941,               0.005941,               0.005941
                     43,                 1.2497,                 0.9844,                 1.5734,                0.97751,                   0.72,                0.78164,                0.39095,                 1.7863,                 1.2103,                 1.9498,               0.005842,               0.005842,               0.005842
                     44,                 1.2449,                0.96639,                 1.5612,                0.97917,                   0.68,                0.80724,                0.41454,                 1.7877,                 1.1617,                 1.8872,               0.005743,               0.005743,               0.005743
                     45,                 1.2382,                0.95296,                 1.5549,                0.93377,                    0.8,                0.83551,                0.40086,                 1.8708,                 1.0039,                 2.0036,               0.005644,               0.005644,               0.005644
                     46,                 1.2347,                0.94081,                 1.5561,                0.86755,                    0.8,                0.86772,                0.43793,                 1.8163,                 1.0389,                 1.9221,               0.005545,               0.005545,               0.005545
                     47,                 1.2105,                0.92311,                 1.5406,                0.79941,                   0.84,                 0.7939,                0.37892,                 1.8496,                 1.1766,                  1.963,               0.005446,               0.005446,               0.005446
                     48,                 1.1926,                0.89767,                 1.5104,                0.85479,                   0.72,                0.79542,                0.38389,                 2.0363,                 1.3776,                 2.0957,               0.005347,               0.005347,               0.005347
                     49,                 1.2087,                0.89349,                 1.5211,                 0.8457,                   0.76,                 0.7907,                0.35744,                 2.0638,                 1.2622,                 2.1731,               0.005248,               0.005248,               0.005248
                     50,                 1.1896,                 0.8783,                  1.503,                0.84896,                   0.76,                0.80242,                0.46873,                 1.6588,                 1.1931,                 1.7006,               0.005149,               0.005149,               0.005149
                     51,                 1.1841,                0.87502,                 1.4979,                0.90407,                0.75418,                0.79226,                0.44527,                 1.8348,                 1.2876,                 1.8912,                0.00505,                0.00505,                0.00505
